filepath,filename,coupling,interaction_class,potential,source,sector,contains_antimatter,label
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-nucleon/45Ficek_2018_m_V4+5_abs_epbar.csv,45Ficek_2018_m_V4+5_abs_epbar,gVgV,lepton-nucleon,V4+5,Ficek2018,epbar,True,Ficek2018 (e-p̄)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-nucleon/45DG Wu_2023_m_abs_eN.csv,45DG Wu_2023_m_abs_eN,gVgV,lepton-nucleon,V45,DG Wu2023,eN,False,DG Wu2023 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-nucleon/3Fadeev_2022_5_m_abs_ep.csv,3Fadeev_2022_5_m_abs_ep,gVgV,lepton-nucleon,V5,Fadeev2022,ep,False,Fadeev2022 (e-p)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-nucleon/45Wu_2021_m_abs_eN.csv,45Wu_2021_m_abs_eN,gVgV,lepton-nucleon,V45,Wu2021,eN,False,Wu2021 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-nucleon/45Kim_2018_m_abs_eN.csv,45Kim_2018_m_abs_eN,gVgV,lepton-nucleon,V45,Kim2018,eN,False,Kim2018 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-nucleon/45Xiao_2023_m_abs_eN.csv,45Xiao_2023_m_abs_eN,gVgV,lepton-nucleon,V45,Xiao2023,eN,False,Xiao2023 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-nucleon/45Clayburn_2023a_m_abs_eN.csv,45Clayburn_2023a_m_abs_eN,gVgV,lepton-nucleon,V45,ClayburnUNKNOWN,eN,False,ClayburnUNKNOWN (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-nucleon/45Heckel_2008_m_abs_eN.csv,45Heckel_2008_m_abs_eN,gVgV,lepton-nucleon,V45,Heckel2008,eN,False,Heckel2008 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-nucleon/3Wang_2022_m_abs_en.csv,3Wang_2022_m_abs_en,gVgV,lepton-nucleon,V3,Wang2022,en,False,Wang2022 (e-n)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-nucleon/45Wei Xiao_2024_m_abs_eN.csv,45Wei Xiao_2024_m_abs_eN,gVgV,lepton-nucleon,V45,Wei Xiao2024,eN,False,Wei Xiao2024 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/nucleon-nucleon/45Haddock_2018a_m_abs_nN.csv,45Haddock_2018a_m_abs_nN,gVgV,nucleon-nucleon,V45,HaddockUNKNOWN,nN,False,HaddockUNKNOWN (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/nucleon-nucleon/45voronin_2020_m_abs_NN.csv,45voronin_2020_m_abs_NN,gVgV,nucleon-nucleon,V45v,oronin2020,nn,False,oronin2020 (n-n)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/nucleon-nucleon/45Wei_2022a_m_abs_nN.csv,45Wei_2022a_m_abs_nN,gVgV,nucleon-nucleon,V45,WeiUNKNOWN,nN,False,WeiUNKNOWN (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/nucleon-nucleon/3Ramsey_1979_m_abs_np.csv,3Ramsey_1979_m_abs_np,gVgV,nucleon-nucleon,V3,Ramsey1979,np,False,Ramsey1979 (n-p)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/nucleon-nucleon/3Vasilakis_2009_m_abs_nn.csv,3Vasilakis_2009_m_abs_nn,gVgV,nucleon-nucleon,V3,Vasilakis2009,nn,False,Vasilakis2009 (n-n)
