0.013919,1.2877e-09
0.014247,5.4747e-10
0.014695,2.9007e-10
0.014977,1.5548e-10
0.01564,7.5236e-11
0.016132,3.4297e-11
0.016678,1.6568e-11
0.017242,8.2224e-12
0.017826,4.1639e-12
0.018429,2.1809e-12
0.019132,1.1797e-12
0.019945,6.3352e-13
0.020619,3.5493e-13
0.021292,1.9098e-13
0.022527,8.6989e-14
0.023752,4.0635e-14
0.025318,1.5153e-14
0.026835,7.0896e-15
0.028287,3.8118e-15
0.029912,2.0569e-15
0.032841,7.9507e-16
0.035339,4.6278e-16
0.037536,2.2416e-16
0.040793,1.1035e-16
0.044332,5.687e-17
0.048507,3.025e-17
0.052876,1.668e-17
0.058714,9.1748e-18
0.066277,5.257e-18
0.076772,2.9189e-18
0.089921,1.6354e-18
0.10798,9.3321e-19
0.12967,5.8735e-19
0.15572,4.0277e-19
0.187,2.9799e-19
0.22456,2.3324e-19
0.26967,1.8847e-19
0.32384,1.6073e-19
0.38889,1.4185e-19
0.46701,1.2861e-19
0.56081,1.1891e-19
0.67346,1.1212e-19
0.80874,1.0755e-19
0.9712,1.0241e-19
1.1663,1.0166e-19
1.4005,9.7274e-20
1.6819,9.6561e-20
2.0197,9.6561e-20
2.4254,9.6561e-20
2.9126,9.6561e-20
3.4977,9.5386e-20
4.2002,9.3994e-20
5.0439,9.3994e-20
6.0571,9.3994e-20
7.2738,9.1944e-20
8.7349,9.1495e-20
10.489,9.1495e-20
12.597,9.1495e-20
15.127,9.1495e-20
18.165,9.1495e-20
21.814,9.1495e-20
26.196,9.1495e-20
31.458,9.1495e-20
37.777,9.1495e-20
45.365,9.1495e-20
54.478,9.1495e-20
65.421,9.1495e-20
78.562,9.1495e-20
94.999,9.1907e-20
104.25,8.8572e-20
